Brand-Name,Audience score,Price,Trail terrain,Shock absorption,Energy return,Traction,Arch support,Weight lab Weight brand,Lightweight,Drop lab Drop brand,Strike pattern,Size,Midsole softness,Difference in midsole softness in cold,Plate,Toebox durability,Heel padding durability,Outsole durability,Breathability,Width / fit,Toebox width,Stiffness,Torsional rigidity,Heel counter stiffness,Lug depth,Heel stack lab Heel stack brand,Forefoot lab Forefoot brand,Widths available,For heavy runners,Season,Removable insole,Orthotic friendly,Waterproofing,Ranking,Popularity
Adidas Terrex Agravic Speed Ultra,90 Great!,$220,Light,Moderate,High,-,Neutral,9.1 oz / 259g 9.5 oz / 270g,0,0.3 mm 8.0 mm,Mid/forefoot,Slightly large,Balanced,Small,0,Good,Good,Decent,Moderate,Medium,Narrow,Moderate,Stiff,Flexible,2.5 mm,30.6 mm 38.0 mm,30.3 mm 30.0 mm,Normal,0,All seasons,1,1,-,#76 Top 21%,#177 Top 47%
Adidas Terrex Speed Ultra,90 Great!,3559500 Rp,Light,-,-,-,Neutral,9.1 oz / 258g 9 oz / 255g,0,8.2 mm 8.0 mm,Heel Mid/forefoot,True to size,-,-,0,-,-,-,-,Narrow,-,Stiff,Flexible,Flexible,2.6 mm,32.8 mm 26.0 mm,24.6 mm 18.0 mm,Normal,0,-,1,1,-,#49 Top 13%,#298 Bottom 21%
Altra Experience Wild,88 Great!,2966250 Rp,Light Moderate,Moderate,Low,-,Neutral,10.1 oz / 285g 9.6 oz / 273g,0,4.3 mm 4.0 mm,Mid/forefoot,True to size,Soft,Normal,0,Decent,Decent,Good,Moderate,Wide,Wide,Moderate,Stiff,Moderate,3.6 mm,34.5 mm 34.0 mm,30.2 mm 30.0 mm,Normal,0,All seasons,1,1,-,#263 Top 40%,#326 Top 49%
Altra Experience Wild 2,84 Good!,2966250 Rp,Light,Moderate,Low,High,Neutral,9.4 oz / 266g 10.3 oz / 293g,0,6.1 mm 4.0 mm,Mid/forefoot,-,Balanced,Normal,0,Decent,Good,Good,Warm,Wide,Wide,Moderate,Moderate,Flexible,3.5 mm,32.3 mm 32.0 mm,26.2 mm 28.0 mm,Normal,0,All seasons,1,1,-,#245 Bottom 35%,#154 Top 41%
Altra Lone Peak 5.0,91 Superb!,$130,Light Moderate,-,-,-,Neutral,10.7 oz / 302g 10.6 oz / 301g,0,0.2 mm 0.0 mm,Mid/forefoot,True to size,-,-,Rock plate,-,-,-,-,Narrow,-,Stiff,Flexible,-,3.7 mm,24.5 mm 25.0 mm,24.3 mm 25.0 mm,Normal,0,-,1,1,-,#68 Top 11%,#55 Top 9%
Altra Lone Peak 6,89 Great!,$140,Moderate Technical,-,-,-,Neutral,9.8 oz / 278g 9.7 oz / 275g,0,0.6 mm 0.0 mm,Mid/forefoot,True to size,-,-,Rock plate,-,-,-,-,Wide,-,Stiff,-,-,4.4 mm,25.1 mm 25.0 mm,24.5 mm 25.0 mm,Normal Wide,0,-,0,0,-,#147 Top 22%,#341 Bottom 49%
Altra Lone Peak 7,86 Good!,3164000 Rp,Moderate,-,-,-,Neutral,10.4 oz / 294g 11 oz / 312g,0,0.2 mm 0.0 mm,Mid/forefoot,True to size,Balanced,Normal,0,-,-,-,Moderate,Narrow,-,Stiff,Flexible,Flexible,3.4 mm,23.3 mm 25.0 mm,23.1 mm 25.0 mm,Normal Wide,0,All seasons,1,1,-,#403 Bottom 40%,#273 Top 41%
Altra Lone Peak 8,81 Good!,$140,Light Moderate,-,-,-,Neutral,10.2 oz / 288g 10.7 oz / 303g,0,1.4 mm 0.0 mm,Mid/forefoot,True to size,Balanced,Small,0,Good,Decent,Decent,Moderate,Medium,Wide,Stiff,Flexible,Flexible,3.0 mm,22.7 mm 25.0 mm,21.3 mm 25.0 mm,Normal Wide,0,All seasons,1,1,-,#567 Bottom 15%,#177 Top 27%
Altra Lone Peak 9,91 Superb!,$140,Light Moderate,Low,Moderate,-,Neutral,10.9 oz / 309g 10.4 oz / 295g,0,0.0 mm 0.0 mm,Mid/forefoot,True to size,Balanced,Normal,0,Decent,Decent,Good,Warm,Wide,Wide,Moderate,Moderate,Flexible,3.8 mm,23.3 mm 25.0 mm,23.3 mm 25.0 mm,Normal Wide,0,All seasons,1,1,-,#25 Top 7%,#41 Top 11%
Altra Mont Blanc,79 Good!,$180,Light Moderate,-,-,-,Neutral,9.6 oz / 272g 9.9 oz / 280g,0,0.0 mm,Mid/forefoot,True to size,-,-,0,-,-,-,-,Medium,-,Stiff,-,-,2.8 mm,33.8 mm 30.0 mm,33.8 mm,Normal Wide,0,-,0,0,-,#332 Bottom 12%,#241 Bottom 36%
Altra Mont Blanc Carbon,86 Good!,4943750 Rp,Moderate,-,-,-,Neutral,8.9 oz / 251g 9.3 oz / 264g,0,0.3 mm 0.0 mm,Mid/forefoot,True to size,Soft,Normal,Carbon plate,Decent,Bad,Good,Moderate,Medium,Wide,Stiff,Flexible,Flexible,3.5 mm,27.2 mm 29.0 mm,26.9 mm 29.0 mm,Normal,0,All seasons,1,1,-,#189 Top 50%,#273 Bottom 27%
Altra Olympus 275,82 Good!,3856130 Rp,Light,Moderate,Low,High,Neutral,10.7 oz / 303g 10.8 oz / 305g,0,0.3 mm 0.0 mm,Mid/forefoot,-,Balanced,Small,0,Good,Decent,Good,Moderate,Wide,Wide,Moderate,Stiff,Flexible,3.5 mm,30.8 mm 33.0 mm,30.5 mm 33.0 mm,Normal,0,All seasons,1,1,-,#298 Bottom 21%,#240 Bottom 36%
Altra Olympus 5,83 Good!,3558800 Rp,Light Moderate,-,-,-,Neutral,11.5 oz / 325g 12.3 oz / 350g,0,2.0 mm 0.0 mm,Mid/forefoot,Slightly small,Balanced,Normal,0,-,-,-,Moderate,Wide,-,Stiff,Moderate,Moderate,3.0 mm,33.0 mm 33.0 mm,31.0 mm 33.0 mm,Normal,0,All seasons,1,1,-,#526 Bottom 21%,#302 Top 45%
Altra Olympus 6,83 Good!,$175,Light Moderate,Moderate,Moderate,-,Neutral,12.6 oz / 357g 12.5 oz / 354g,0,0.7 mm 0.0 mm,Mid/forefoot,Half size small,Balanced,Normal,0,Very good,Good,Good,Breathable,Medium,Wide,Stiff,Stiff,Moderate,3.5 mm,32.2 mm 35.0 mm,31.5 mm 35.0 mm,Normal,1,Summer All seasons,1,1,-,#273 Bottom 27%,#116 Top 31%
Altra Outroad,81 Good!,2966250 Rp,Light,-,-,-,Neutral,10.1 oz / 287g 10.7 oz / 303g,0,0.1 mm 0.0 mm,Mid/forefoot,Slightly small,Balanced,Normal,0,-,-,-,Moderate,Medium,Medium,Stiff,Moderate,Flexible,2.3 mm,25.1 mm 27.0 mm,25.0 mm 27.0 mm,Normal,0,All seasons,1,1,-,#578 Bottom 14%,#527 Bottom 21%
Altra Outroad 2,79 Good!,2570750 Rp,Light,-,-,-,Neutral,10.3 oz / 291g 10.1 oz / 286g,0,1.4 mm 0.0 mm,Mid/forefoot,Slightly small,Balanced,Small,0,Bad,Decent,Good,Moderate,Medium,Wide,Stiff,Moderate,Moderate,2.2 mm,26.9 mm 27.5 mm,25.5 mm 27.5 mm,Normal,0,All seasons,1,1,-,#610 Bottom 9%,#564 Bottom 16%
Altra Outroad 3,81 Good!,2570750 Rp,Light,-,-,-,Neutral,9.2 oz / 261g 10.7 oz / 303g,0,0.6 mm 0.0 mm,Mid/forefoot,Slightly small,Balanced,Normal,0,Decent,Bad,Bad,Warm,Medium,Wide,Stiff,Moderate,Flexible,1.5 mm,23.8 mm 27.0 mm,23.2 mm 27.0 mm,Normal,0,All seasons,1,1,-,#313 Bottom 17%,#283 Bottom 25%
Altra Superior 6,78 Decent!,$130,Light Moderate,-,-,-,Neutral,9.6 oz / 272g 9.1 oz / 258g,0,0.1 mm 0.0 mm,Mid/forefoot,Slightly small,Balanced,Normal,0,Very bad,Decent,Good,Breathable,Medium,Wide,Stiff,Moderate,Flexible,3.3 mm,22.1 mm 20.5 mm,22.0 mm 20.5 mm,Normal,0,Summer All seasons,1,1,-,#631 Bottom 6%,#524 Bottom 22%
Altra Superior 7,82 Good!,2373000 Rp,Light,Low,Low,High,Neutral,8.3 oz / 235g 9.3 oz / 263g,1,0.6 mm 0.0 mm,Mid/forefoot,-,Balanced,Small,0,Decent,Good,Good,Moderate,Medium,Wide,Flexible,Flexible,Flexible,3.5 mm,20.6 mm 21.0 mm,20.0 mm 21.0 mm,Normal,0,All seasons,1,1,-,#293 Bottom 22%,#271 Bottom 28%
Altra Timp 4,78 Decent!,3164000 Rp,Light Moderate,-,-,-,Neutral,11.1 oz / 316g 10.6 oz / 300g,0,0.1 mm 0.0 mm,Mid/forefoot,True to size,Balanced,Big,0,-,-,-,Moderate,Medium,-,Stiff,Flexible,Flexible,2.9 mm,29.0 mm 30.0 mm,28.9 mm 30.0 mm,Normal,0,All seasons,1,1,-,#626 Bottom 6%,#523 Bottom 22%
Altra Timp 5,80 Good!,$155,Light Moderate,Moderate,Low,-,Neutral,9.5 oz / 269g 9.8 oz / 277g,0,-0.1 mm 0.0 mm,Mid/forefoot,Half size small,Balanced,Small,0,Good,Decent,Good,Moderate,Wide,Wide,Stiff,Stiff,Moderate,3.0 mm,28.6 mm 29.0 mm,28.7 mm 29.0 mm,Normal,0,All seasons,1,1,-,#319 Bottom 15%,#146 Top 39%
Altra Timp 5 GTX,72 Bad!,3559500 Rp,Light Moderate,Moderate,Low,High,Neutral,11 oz / 312g 11.7 oz / 331g,0,0.3 mm 0.0 mm,Mid/forefoot,-,Soft,Normal,0,Decent,Decent,Good,Warm,Wide,Wide,Stiff,Stiff,Flexible,3.5 mm,28.9 mm 29.0 mm,28.6 mm 29.0 mm,Normal,0,Winter,1,1,Waterproof,#373 Bottom 1%,#261 Bottom 31%
ASICS Gel Excite Trail 2,"81
 Good!",$85,Light,Moderate,Low,-,Neutral,10.3 oz / 292g 10.4 oz / 296g,0,10.1 mm 8.0 mm,Heel,True to size,Balanced,Normal,0,Very bad,Bad,Decent,Moderate,Medium,Medium,Flexible,Stiff,Stiff,4.0 mm,37.7 mm 36.0 mm,27.6 mm 28.0 mm,Normal,1,All seasons,1,1,-,#310 Bottom 18%,#233 Bottom 38%
ASICS Gel Trabuco 12,"90
 Great!",$140,ModerateTechnical,Moderate,Moderate,-,Neutral,10.5 oz / 299g 10.9 oz / 309g,0,7.8 mm 8.0 mm,Mid/forefoot,True to size,Soft,Small,Rock plate,Good,Good,Good,Moderate,Medium,Wide,Moderate,Moderate,Moderate,4.5 mm,35.4 mm 36.0 mm,27.6 mm 28.0 mm,Normal,0,All seasons,1,1,-,#120 Top 18%,#153 Top 23%
ASICS Gel Trabuco 13,"88
 Great!",$140,Light,Moderate,Moderate,-,Neutral,10.2 oz / 288g 10 oz / 283g,0,7.0 mm 8.0 mm,Mid/forefoot,True to size,Balanced,Normal,Rock plate,Good,Good,Good,Moderate,Medium,Medium,Stiff,Stiff,Stiff,3.3 mm,33.8 mm 34.0 mm,26.8 mm 26.0 mm,Normal,0,All seasons,1,1,-,#144 Top 38%,#109 Top 29%
ASICS Gel Venture 10,83 Good!,$80,Light Moderate,Low,Low,-,Neutral,11.4 oz / 322g 11.4 oz / 323g,0,12.0 mm 10.0 mm,Heel,True to size,Soft,Big,0,Good,Good,Good,Moderate,Narrow,Narrow,Moderate,Stiff,Moderate,3.7 mm,35.3 mm 33.5 mm,23.3 mm 23.5 mm,Normal Wide X-Wide,0,All seasons,1,1,-,#262 Bottom 30%,#82 Top 22%
ASICS Gel Venture 8,88 Great!,$70,Light Moderate,-,-,-,Neutral,10.4 oz / 295g 12.5 oz / 354g,0,13.2 mm 10.0 mm,Heel,True to size,Balanced,Normal,0,Bad,Decent,Good,Breathable,Narrow,Medium,Moderate,Moderate,Moderate,3.1 mm,34.2 mm,21.0 mm,Normal X-Wide,0,Summer All seasons,1,1,-,#258 Top 39%,#238 Top 36%
ASICS Gel Venture 9,84 Good!,$80,Light Moderate,Low,Low,-,Neutral,11.1 oz / 314g 10.6 oz / 300g,0,10.4 mm,Heel,True to size,Balanced,Normal,0,Very bad,Decent,-,Moderate,Narrow,Narrow,Moderate,Moderate,Stiff,3.0 mm,33.3 mm,22.9 mm,Normal Wide X-Wide,0,All seasons,1,1,-,#498 Bottom 26%,#207 Top 31%
ASICS Metafuji Trail,90 Great!,$250,Light,High,Moderate,High,Neutral,9.1 oz / 258g 9.2 oz / 261g,0,10.3 mm 5.0 mm,Heel,True to size,Soft,Normal,Carbon plate,Very bad,Good,Decent,Breathable,Medium,Narrow,Stiff,Stiff,Moderate,2.7 mm,44.7 mm 44.0 mm,34.4 mm 39.0 mm,Normal Wide,0,Summer All seasons,1,1,-,#69 Top 19%,#291 Bottom 23%
ASICS Trabuco Max 2,93 Superb!,$150,Moderate Technical,-,-,-,Neutral,10.3 oz / 292g 10.7 oz / 303g,0,8.5 mm 5.0 mm,Heel Mid/forefoot,True to size,Soft,Big,0,Decent,Good,Decent,Breathable,Medium,Wide,Stiff,Stiff,Stiff,4.2 mm,39.7 mm 43.0 mm,31.2 mm 38.0 mm,Normal,0,Summer All seasons,1,1,-,#6 Top 1%,#312 Top 47%
ASICS Trabuco Max 3,90 Great!,$160,Moderate Technical,High,Moderate,-,Neutral,10.9 oz / 308g 10.5 oz / 298g,0,8.5 mm 5.0 mm,Heel Mid/forefoot,Slightly small,Soft,Small,0,Good,Good,Decent,Warm,Medium,Medium,Stiff,Stiff,Stiff,4.0 mm,42.4 mm 43.0 mm,33.9 mm 38.0 mm,Normal,0,All seasons,1,1,-,#85 Top 13%,#151 Top 23%
ASICS Trabuco Max 4,88 Great!,$160,Light,Moderate,Moderate,High,Neutral,11 oz / 312g 0.2 oz / 5g,0,6.1 mm 5.0 mm,Mid/forefoot,Half size small,Balanced,Small,0,Decent,Good,Decent,Moderate,Medium,Medium,Stiff,Stiff,Stiff,3.1 mm,39.3 mm 41.0 mm,33.2 mm 36.0 mm,Normal,0,All seasons,1,1,-,#149 Top 40%,#109 Top 29%
ASICS Trail Scout 2,"83
 Good!",$60,Moderate,-,-,-,Neutral,11.4 oz / 323g 11.4 oz / 323g,0,10.3 mm 10.0 mm,Heel,True to size,Balanced,Small,0,-,-,-,Moderate,Narrow,Medium,Stiff,Stiff,Stiff,4.2 mm,32.8 mm,22.5 mm,Normal,0,All seasons,1,1,-,#274 Bottom 27%,#335 Bottom 11%
Brooks Caldera 6,88 Great!,2966250 Rp,Light Moderate,-,-,-,Neutral,11.1 oz / 315g 11.1 oz / 314g,0,12.1 mm 6.0 mm,Heel,True to size,Soft,Small,0,Very good,Decent,Good,Moderate,Medium,Medium,Stiff,Stiff,Stiff,3.5 mm,38.4 mm 36.0 mm,26.3 mm 30.0 mm,Normal,0,All seasons,1,1,-,#255 Top 38%,#488 Bottom 27%
Brooks Caldera 7,88 Great!,$150,Light Moderate,High,Moderate,-,Neutral,10.8 oz / 305g 10.6 oz / 300g,0,8.9 mm 6.0 mm,Heel Mid/forefoot,True to size,Soft,Small,0,Decent,Good,Decent,Breathable,Medium,Medium,Stiff,Stiff,Stiff,4.0 mm,36.7 mm 39.0 mm,27.8 mm 33.0 mm,Normal,0,Summer All seasons,1,1,-,#273 Top 41%,#460 Bottom 31%
Brooks Caldera 8,89 Great!,$150,Light Moderate,Moderate,Moderate,High,Neutral,10.9 oz / 309g 10.9 oz / 309g,0,8.8 mm 6.0 mm,Heel Mid/forefoot,True to size,Soft,Big,0,Bad,Good,Decent,Moderate,Medium,Medium,Moderate,Stiff,Stiff,3.6 mm,36.7 mm 39.0 mm,27.9 mm 33.0 mm,Normal,0,All seasons,1,1,-,#91 Top 25%,#160 Top 43%
Brooks Cascadia 16,87 Great!,2966250 Rp,Technical,-,-,-,Neutral,10.9 oz / 310g 10.5 oz / 298g,0,10.3 mm 8.0 mm,Heel,Slightly small,-,-,Rock plate,-,-,-,-,Narrow,-,Stiff,Stiff,Stiff,4.3 mm,32.3 mm 29.0 mm,22.0 mm 21.0 mm,Normal Wide,0,-,1,1,-,#306 Top 46%,#436 Bottom 35%
Brooks Cascadia 17,86 Good!,2966250 Rp,Moderate Technical,-,-,-,Neutral,11.6 oz / 329g 11 oz / 312g,0,9.2 mm 8.0 mm,Heel Mid/forefoot,True to size,Balanced,Normal,Rock plate,Bad,Bad,Good,Breathable,Medium,Wide,Stiff,Stiff,Stiff,3.9 mm,33.1 mm,23.9 mm,Normal Wide,0,Summer All seasons,1,1,-,#378 Bottom 43%,#401 Bottom 40%
Brooks Cascadia 18,86 Good!,2966250 Rp,Light Moderate,Low,Low,-,Neutral,10.9 oz / 310g 11.1 oz / 314g,0,8.8 mm 8.0 mm,Heel Mid/forefoot,True to size,Balanced,Small,Rock plate,Very bad,Decent,Decent,Moderate,Medium,Medium,Stiff,Stiff,Stiff,4.0 mm,32.6 mm 33.0 mm,23.8 mm 25.0 mm,Normal Wide,0,All seasons,1,1,-,#414 Bottom 38%,#259 Top 39%
Brooks Cascadia 19,84 Good!,2966250 Rp,Light Moderate,Moderate,Moderate,High,Neutral,10.8 oz / 306g 10.7 oz / 303g,0,7.8 mm 6.0 mm,Mid/forefoot,True to size,Balanced,Normal,Rock plate,Good,Decent,Good,Moderate,Medium,Medium,Moderate,Stiff,Stiff,3.8 mm,34.8 mm 35.0 mm,27.0 mm 29.0 mm,Normal Wide,1,All seasons,1,1,-,#224 Bottom 40%,#107 Top 29%
Brooks Catamount 2,87 Great!,$170,Light Moderate,-,-,-,Neutral,9.7 oz / 275g 9.7 oz / 275g,0,6.4 mm 6.0 mm,Mid/forefoot,True to size,Balanced,Small,Rock plate,Bad,Good,Good,Moderate,Narrow,Medium,Stiff,Stiff,Moderate,3.0 mm,29.0 mm 29.0 mm,22.6 mm 23.0 mm,Normal,0,All seasons,1,1,Water repellent,#333 Top 50%,#593 Bottom 11%
Brooks Catamount 3,89 Great!,3361750 Rp,Light Moderate,-,-,-,Neutral,9 oz / 255g 9.4 oz / 266g,0,6.8 mm 6.0 mm,Mid/forefoot,True to size,Balanced,Normal,Rock plate,Very bad,Good,Decent,Warm,Narrow,Wide,Stiff,Moderate,Flexible,2.9 mm,28.3 mm 30.0 mm,21.5 mm 24.0 mm,Normal,0,All seasons,1,1,-,#85 Top 23%,#267 Bottom 29%
Brooks Divide 3,90 Great!,2966250 Rp,Light Moderate,-,-,-,Neutral,10.3 oz / 291g 10.1 oz / 285g,0,8.4 mm 8.0 mm,Heel Mid/forefoot,Half size small,Firm,Small,0,Very bad,Bad,Good,Moderate,Medium,Medium,Stiff,Stiff,Stiff,3.1 mm,31.1 mm 30.0 mm,22.7 mm 22.0 mm,Normal,0,All seasons,1,1,-,#131 Top 20%,#637 Bottom 5%
Brooks Divide 4,86 Good!,2175250 Rp,Light,-,-,-,Neutral,9.9 oz / 282g 10.4 oz / 294.8g,0,9.2 mm 8.0 mm,Heel Mid/forefoot,True to size,Balanced,Big,0,Bad,Bad,Decent,Moderate,Medium,Wide,Stiff,Moderate,Stiff,2.7 mm,32.1 mm 30.0 mm,22.9 mm 22.0 mm,Normal,0,All seasons,1,1,-,#191 Bottom 49%,#314 Bottom 17%
Brooks Divide 5 GTX,78 Decent!,2570750 Rp,Light,Moderate,Low,High,Neutral,10.1 oz / 286g 10.4 oz / 295g,0,10.0 mm 8.0 mm,Heel Mid/forefoot,True to size,Balanced,Normal,0,Good,Good,Good,Warm,Medium,Medium,Moderate,Stiff,Stiff,3.0 mm,35.5 mm 24.0 mm,25.5 mm 16.0 mm,Normal,0,Winter,1,1,Waterproof,#337 Bottom 11%,#318 Bottom 16%
Hoka Challenger 7,85 Good!,$145,Light Moderate,High,Low,-,Neutral,8.8 oz / 250g 8.8 oz / 250g,0,8.8 mm 5.0 mm,Heel Mid/forefoot,True to size,Soft,Normal,0,Good,Decent,-,Warm,Narrow,Narrow,Moderate,Moderate,Stiff,3.1 mm,32.9 mm 31.0 mm,24.1 mm 26.0 mm,Normal Wide,0,All seasons,1,1,-,#452 Bottom 32%,#166 Top 25%
Hoka Challenger 7 GTX,78 Decent!,3361750 Rp,Moderate Technical,-,-,-,Neutral,9.9 oz / 281g 9 oz / 255g,0,11.1 mm 5.0 mm,Heel,True to size,Soft,Small,0,Very good,Decent,Good,Warm,Medium,Narrow,Stiff,Stiff,Stiff,3.8 mm,39.2 mm 31.0 mm,28.1 mm 26.0 mm,Normal,0,Winter,1,1,Waterproof Water repellent,#342 Bottom 9%,#136 Top 36%
HOKA Challenger 8,77 Decent!,$155,Light Moderate,High,Low,High,Neutral,9.5 oz / 269g 9.7 oz / 275g,0,10.1 mm 8.0 mm,Heel,-,Soft,Normal,0,Good,Good,Good,Breathable,Medium,Medium,Moderate,Stiff,Stiff,3.7 mm,40.2 mm 42.0 mm,30.1 mm 34.0 mm,Normal Wide,0,Summer All seasons,1,1,-,#339 Bottom 10%,#66 Top 18%
HOKA Mafate 5,75 Bad!,3757250 Rp,Light Moderate,High,Moderate,High,Neutral,11.1 oz / 315g 11.7 oz / 332g,0,9.0 mm 8.0 mm,Heel Mid/forefoot,-,Soft,Small,0,Decent,Decent,Good,Moderate,Medium,Medium,Stiff,Stiff,Moderate,4.4 mm,42.9 mm 45.0 mm,33.9 mm 37.0 mm,Normal,0,All seasons,1,1,-,#360 Bottom 5%,#130 Top 35%
Hoka Mafate Speed 4,88 Great!,3559500 Rp,Moderate Technical,Moderate,Moderate,-,Neutral,10.3 oz / 293g 10.4 oz / 295g,0,7.2 mm 4.0 mm,Mid/forefoot,True to size,Soft,Normal,0,Good,Good,Good,Moderate,Medium,Narrow,Moderate,Stiff,Flexible,3.9 mm,38.0 mm 33.0 mm,30.8 mm 29.0 mm,Normal,0,All seasons,1,1,-,#140 Top 37%,#119 Top 32%
Hoka Mafate Three2,"77
 Decent!",3955000Rp,Light,-,-,-,Neutral,11.7 oz / 332g 11.6 oz / 329g,0,3.9 mm 4.0 mm,Mid/forefoot,Slightly small,Soft,Normal,0,Very good,Decent,Good,Moderate,Narrow,Narrow,Stiff,Stiff,Moderate,4.0 mm,35.6 mm 35.0 mm,31.7 mm 31.0 mm,Normal,0,All seasons,1,1,-,#346 Bottom 8%,#206 Bottom 45%
HOKA Mafate X,89 Great!,$225,Light Moderate,High,Moderate,High,Neutral,11.8 oz / 335g 12.1 oz / 343g,0,10.6 mm 8.0 mm,Heel,-,Balanced,Small,Carbon plate,Bad,Good,Good,Moderate,Wide,Medium,Stiff,Stiff,Stiff,3.0 mm,47.3 mm 49.0 mm,36.7 mm 41.0 mm,Normal,1,All seasons,1,1,-,#86 Top 23%,#181 Top 48%
HOKA Mafate X,89 Great!,4449380 Rp,Light Moderate,High,Moderate,High,Neutral,11.8 oz / 335g 12.1 oz / 343g,0,10.6 mm 8.0 mm,Heel,-,Balanced,Small,Carbon plate,Bad,Good,Good,Moderate,Wide,Medium,Stiff,Stiff,Stiff,3.0 mm,47.3 mm 49.0 mm,36.7 mm 41.0 mm,Normal,1,All seasons,1,1,-,#87 Top 23%,#182 Top 49%
Hoka Speedgoat 5,88 Great!,$155,Light Moderate,Moderate,Low,-,Neutral,9.8 oz / 277g 9.7 oz / 276g,0,3.8 mm 4.0 mm,Mid/forefoot,True to size,Soft,Big,0,-,-,-,Moderate,Narrow,-,Moderate,Flexible,Flexible,3.0 mm,27.5 mm 33.0 mm,23.7 mm 29.0 mm,Normal Wide,0,All seasons,1,1,-,#248 Top 37%,#121 Top 18%
Hoka Speedgoat 5 GTX,82 Good!,3559500 Rp,Moderate,-,-,-,Neutral,11.3 oz / 319g 11.5 oz / 326g,0,7.0 mm 4.0 mm,Mid/forefoot,True to size,Soft,Big,0,Good,Good,Decent,Moderate,Medium,Medium,Stiff,Stiff,Moderate,3.5 mm,34.6 mm,27.6 mm,Normal,0,Winter,1,1,Waterproof,#553 Bottom 17%,#371 Bottom 44%
Hoka Speedgoat 6,78 Decent!,$155,Moderate,Moderate,Low,-,Neutral,9.8 oz / 278g 9.8 oz / 277g,0,4.9 mm 5.0 mm,Mid/forefoot,Slightly small,Balanced,Small,0,Good,Good,Decent,Warm,Medium,Medium,Stiff,Stiff,Moderate,4.0 mm,32.1 mm 40.0 mm,27.2 mm 35.0 mm,Normal Wide,1,All seasons,1,1,-,#341 Bottom 10%,#37 Top 10%
Hoka Speedgoat 6 GTX,"77
 Decent!",3558800Rp,Moderate,-,-,-,Neutral,10.2 oz / 289g 10.4 oz / 295g,0,5.0 mm 5.0 mm,Mid/forefoot,Half size small,Balanced,Small,0,Very good,Good,Good,Warm,Medium,Narrow,Stiff,Stiff,Moderate,3.9 mm,32.9 mm 37.0 mm,27.9 mm 32.0 mm,NormalWide,0,Winter,1,1,Waterproof,#352 Bottom 7%,#113 Top 30%
Hoka Stinson 7,85 Good!,$170,Light Moderate,Moderate,Moderate,-,Neutral,12.1 oz / 342g 12.9 oz / 365g,0,7.0 mm 5.0 mm,Mid/forefoot,True to size,Soft,Big,0,Very bad,Bad,Decent,Moderate,Medium,Medium,Stiff,Stiff,Stiff,3.0 mm,40.0 mm 42.0 mm,33.0 mm 37.0 mm,Normal,0,All seasons,1,1,-,#217 Bottom 42%,#105 Top 28%
Hoka Tecton X,90 Great!,4152750 Rp,Moderate,-,-,-,Neutral,8.6 oz / 245g 8.9 oz / 252g,1,8.0 mm 5.0 mm,Heel Mid/forefoot,True to size,Firm,Small,Carbon plate,-,-,-,-,Narrow,-,Stiff,Stiff,Flexible,3.5 mm,35.3 mm 33.0 mm,27.3 mm 29.0 mm,Normal,0,-,1,1,-,#140 Top 21%,#481 Bottom 28%
