shoe_id,brand,name,lightweight,rocker,removable_insole,pace_daily_running,pace_tempo,pace_competition,arch_neutral,arch_stability,weight_lab_oz,drop_lab_mm,strike_heel,strike_mid,strike_forefoot,midsole_softness,toebox_durability,heel_durability,outsole_durability,breathability_scaled,width_fit,toebox_width,stiffness_scaled,torsional_rigidity,heel_stiff,plate_rock_plate,plate_carbon_plate,heel_lab_mm,forefoot_lab_mm,season_summer,season_winter,season_all
r001,adidas,4dfwd,0,0,1,1,0,0,1,0,11.9,8.9,1,1,1,1,0,4,0,1,1,0,5,1,1,0,0,33.3,24.4,0,0,1
r002,adidas,4dfwd 2,0,0,1,1,0,0,1,0,12.6,10.6,1,0,0,1,0,0,0,1,1,0,5,1,3,0,0,31.8,21.2,0,0,1
r003,adidas,4dfwd 3,0,0,1,1,0,0,1,0,12.3,9.9,1,1,1,1,4,4,4,1,1,3,3,1,1,0,0,32.6,22.7,0,0,1
r004,adidas,adistar,0,1,1,1,0,0,1,0,11.5,9.6,1,1,1,3,3,4,0,3,1,3,5,5,1,0,0,34.4,24.8,0,0,1
r005,adidas,adistar 2.0,0,1,1,1,0,0,1,0,11.6,8.0,1,1,1,3,2,0,0,5,1,5,5,5,5,0,0,33.8,25.8,1,0,1
r006,adidas,adistar 3,0,0,1,1,0,0,1,0,9.7,10.5,1,0,0,5,2,3,4,5,3,3,3,5,5,0,0,40.7,30.2,1,0,1
r007,adidas,adizero adios 8,1,0,1,0,1,0,1,0,7.4,7.6,0,1,1,5,2,3,4,5,3,5,1,1,1,0,0,28.0,20.4,1,0,1
r008,adidas,adizero adios 9,1,0,1,0,1,1,1,0,6.2,6.2,0,1,1,5,2,4,4,1,3,1,1,1,1,0,0,25.0,18.8,0,0,1
r009,adidas,adizero adios pro 2.0,1,1,0,0,0,1,1,0,7.9,10.3,1,0,0,0,0,0,0,0,1,0,5,5,1,0,1,40.0,29.7,0,0,0
r010,adidas,adizero adios pro 3,1,1,1,0,0,1,1,0,7.7,8.0,1,1,1,3,2,4,4,5,3,5,5,5,1,0,1,37.8,29.8,1,0,1
r011,adidas,adizero adios pro 4,1,1,1,0,0,1,1,0,7.1,8.1,1,1,1,5,2,4,4,1,3,1,5,5,1,0,1,36.6,28.5,0,0,1
r012,adidas,adizero boston 11,0,1,1,0,1,0,1,0,10.2,9.8,1,1,1,3,2,3,4,3,5,5,5,5,3,0,1,39.1,29.3,0,0,1
r013,adidas,adizero boston 12,0,1,1,0,1,0,1,0,9.2,6.1,0,1,1,3,2,3,4,5,5,3,5,5,1,0,0,34.5,28.4,1,0,1
r014,adidas,adizero boston 13,0,1,1,0,1,1,1,0,9.0,6.0,0,1,1,3,3,4,4,3,3,1,3,5,5,0,1,34.3,28.3,0,0,1
r015,adidas,adizero evo sl,1,1,1,1,1,0,1,0,7.9,8.0,1,1,1,3,2,4,4,5,3,3,1,5,3,0,0,36.1,28.1,1,0,1
r016,adidas,adizero prime x 2 strung,0,1,1,0,1,1,1,0,10.8,8.8,1,1,1,3,4,4,4,3,3,1,5,5,1,0,1,45.7,36.9,0,0,1
r017,adidas,adizero prime x3 strung,0,1,1,0,1,1,1,0,10.3,13.0,1,1,1,5,4,4,2,3,3,3,5,5,1,0,1,48.1,35.1,0,0,1
r018,adidas,adizero sl,1,0,1,1,1,0,1,0,8.8,8.6,1,1,1,3,3,4,4,5,3,3,5,5,3,0,0,34.9,26.3,1,0,1
r019,adidas,adizero sl2,1,0,1,1,1,0,1,0,8.6,8.2,1,1,1,3,2,4,3,5,5,3,3,3,1,0,0,34.9,26.7,1,0,1
r020,adidas,adizero takumi sen 10,1,0,1,0,1,1,1,0,7.1,7.8,0,1,1,5,2,4,2,5,1,3,3,5,1,0,0,30.6,22.8,1,0,1
r021,adidas,alphabounce+,0,0,1,1,0,0,1,0,12.0,11.5,1,0,0,3,2,2,4,3,3,1,5,5,3,0,0,37.7,26.2,0,0,1
r022,adidas,duramo 10,0,0,1,1,0,0,1,0,10.3,8.7,1,1,1,3,0,0,0,0,1,0,5,5,1,0,0,31.6,22.9,0,0,0
r023,adidas,duramo speed,0,0,1,1,0,0,1,0,9.2,6.0,0,1,1,3,2,3,4,5,3,3,5,5,3,0,0,32.7,26.7,1,0,1
r024,adidas,fluidflow 2.0,0,0,1,1,0,0,1,0,11.1,8.1,1,1,1,3,3,4,4,3,3,3,5,1,1,0,0,26.4,18.3,0,0,1
r025,adidas,galaxy 6,0,0,1,1,0,0,1,0,11.7,11.0,1,0,0,3,2,2,3,1,5,5,5,5,1,0,0,33.9,22.9,0,0,1
r026,adidas,pureboost 23,0,0,1,1,0,0,1,0,10.8,11.5,1,0,0,5,3,4,4,5,3,5,1,1,5,0,0,27.6,16.1,1,0,1
r027,adidas,pureboost 5,0,0,1,1,0,0,1,0,9.0,9.2,1,1,1,3,4,4,3,3,3,5,3,3,3,0,0,31.2,22.0,0,0,1
r028,adidas,questar,0,0,1,1,0,0,1,0,10.9,10.5,1,0,0,3,0,0,0,5,1,0,5,5,3,0,0,32.6,22.1,1,0,1
r029,adidas,questar 3,0,0,1,1,0,0,1,0,10.4,8.5,1,1,1,3,3,4,4,3,3,3,3,5,5,0,0,33.5,25.0,0,0,1
r030,adidas,racer tr21,0,0,1,1,0,0,1,0,11.2,12.9,1,0,0,3,2,2,3,3,3,3,3,3,1,0,0,31.9,19.0,0,0,1
r031,adidas,runfalcon,0,0,1,1,0,0,1,0,9.3,8.9,1,1,1,3,0,0,0,1,1,0,5,1,3,0,0,26.5,17.6,0,1,0
r032,adidas,runfalcon 2.0,0,0,1,1,0,0,1,0,9.9,10.9,1,0,0,3,0,0,0,1,3,5,5,3,3,0,0,28.7,17.8,0,0,1
r033,adidas,runfalcon 3,0,0,1,1,0,0,1,0,10.0,13.6,1,0,0,3,2,2,4,3,3,5,5,3,1,0,0,31.6,18.0,0,0,1
r034,adidas,runfalcon 5,0,0,1,1,0,0,1,0,9.7,9.4,1,1,1,3,2,2,3,3,5,3,3,1,3,0,0,31.2,21.8,0,0,1
r035,adidas,solarboost 5,0,0,1,1,0,0,0,1,10.3,9.8,1,1,1,1,3,4,2,1,3,5,5,3,3,0,0,32.9,23.1,0,0,1
r036,adidas,supernova 2,0,0,1,1,0,0,1,0,9.7,14.2,1,0,0,3,2,2,2,5,3,5,1,3,3,0,0,32.4,18.2,1,0,1
r037,adidas,supernova 3,0,0,1,1,0,0,1,0,9.7,12.5,1,0,0,3,4,4,2,5,3,3,5,3,3,0,0,30.7,18.2,1,0,1
r038,adidas,supernova prima,0,1,1,1,0,0,1,0,9.9,8.9,1,1,1,3,3,2,2,3,3,3,3,5,5,0,0,36.1,27.2,0,0,1
r039,adidas,supernova rise,0,1,1,1,0,0,1,0,9.8,9.7,1,1,1,3,3,4,4,3,5,5,3,1,5,0,0,32.5,22.8,0,0,1
r040,adidas,supernova rise 2,0,0,1,1,0,0,1,0,9.1,9.5,1,1,1,3,3,4,3,3,5,5,1,3,5,0,0,33.5,24.0,0,0,1
r041,adidas,supernova solution,0,0,1,1,0,0,0,1,9.8,10.0,1,1,1,3,3,2,3,3,3,5,1,3,5,0,0,33.1,23.1,0,0,1
r042,adidas,supernova+,0,0,1,1,0,0,1,0,11.8,9.3,1,1,1,3,0,0,0,0,3,0,3,3,3,0,0,30.7,21.4,0,0,0
r043,adidas,switch fwd,0,0,1,1,0,0,1,0,11.4,9.1,1,1,1,3,2,4,4,3,3,3,5,5,3,0,0,39.6,30.5,0,0,1
r044,adidas,switch fwd 2,0,0,1,1,0,0,1,0,10.2,11.7,1,0,0,3,3,4,3,3,3,3,5,5,3,0,0,44.0,32.3,0,0,1
r045,adidas,ultraboost 1.0,0,0,1,1,0,0,1,0,11.3,14.2,1,0,0,5,2,3,4,5,1,3,3,1,3,0,0,34.4,20.2,1,0,1
r046,adidas,ultraboost 21,0,0,1,1,0,0,1,0,12.5,12.1,1,0,0,0,0,0,0,0,3,0,0,3,0,0,0,32.8,20.7,0,0,0
r047,adidas,ultraboost 22,0,0,0,1,0,0,1,0,10.6,12.7,1,0,0,1,0,0,0,0,5,0,5,0,0,0,0,33.9,21.2,0,0,0
r048,adidas,ultraboost 5,0,0,1,1,0,0,1,0,10.3,10.6,1,0,0,5,3,4,4,5,5,5,5,5,3,0,0,35.2,24.6,1,0,1
r049,adidas,ultraboost 5x,0,0,1,1,0,0,1,0,9.4,10.4,1,0,0,5,4,4,4,3,3,3,3,5,3,0,0,34.6,24.2,0,0,1
r050,adidas,ultraboost light,0,0,1,1,0,0,1,0,10.8,11.9,1,0,0,5,4,4,4,3,3,5,3,3,3,0,0,30.1,18.2,0,0,1
r051,adidas,ultrabounce,0,0,1,1,0,0,1,0,11.5,11.3,1,0,0,3,3,3,3,5,3,3,3,3,1,0,0,30.3,19.0,1,0,1
r052,adidas,ultrarun 5,0,0,1,1,0,0,1,0,10.4,9.5,1,1,1,3,4,4,3,3,3,3,3,3,3,0,0,34.3,24.8,0,0,1
r053,adidas,wave horizon 7,1,0,1,0,1,0,1,0,7.5,8.7,1,1,1,3,0,0,0,5,3,1,5,5,1,0,0,31.6,22.9,1,0,1
r054,allbirds,tree dasher,0,0,1,1,0,0,1,0,10.6,6.0,0,1,1,3,0,0,0,5,3,0,5,1,1,0,0,29.4,23.4,1,0,1
r055,allbirds,tree dasher 2,0,0,1,1,0,0,1,0,10.3,9.3,1,1,1,3,4,4,2,5,5,5,5,1,1,0,0,31.6,22.3,1,0,1
r056,allbirds,tree flyer 2,0,0,1,1,0,0,1,0,10.3,8.1,1,1,1,3,4,3,4,3,3,3,5,5,3,0,0,32.1,24.0,0,0,1
r057,altra,escalante 3,0,0,1,1,1,0,1,0,9.5,0.2,0,1,1,3,0,0,0,3,3,0,5,1,1,0,0,25.0,24.8,0,0,1
r058,altra,escalante 4,1,0,1,1,0,0,1,0,8.4,1.4,0,1,1,3,4,4,4,3,5,5,1,1,1,0,0,23.8,22.4,0,0,1
r059,altra,escalante racer,1,0,1,0,1,1,1,0,7.3,0.5,0,1,1,1,4,4,3,5,3,5,3,1,1,0,0,19.0,18.5,1,0,1
r060,altra,escalante racer 2,1,0,1,0,1,1,1,0,7.9,1.1,0,1,1,3,4,3,4,5,5,5,3,1,1,0,0,22.5,21.4,1,0,1
r061,altra,experience flow,1,0,1,1,0,0,1,0,8.3,4.1,0,1,1,5,4,4,3,3,5,5,3,3,3,0,0,30.7,26.6,0,0,1
r062,altra,experience flow 2,1,0,1,1,0,0,1,0,8.3,4.4,0,1,1,5,3,4,3,3,5,5,3,3,3,0,0,30.3,25.9,0,0,1
r063,altra,experience form,0,0,1,1,0,0,0,1,9.2,4.0,0,1,1,3,3,3,3,3,3,5,5,3,3,0,0,29.9,25.9,0,0,1
r064,altra,fwd via,0,1,1,1,0,0,1,0,9.0,6.5,0,1,1,3,3,3,3,3,5,5,3,5,3,0,0,35.9,29.4,0,0,1
r065,altra,paradigm 7,0,0,1,1,0,0,0,1,9.3,0.1,0,1,1,5,3,3,4,5,5,5,3,3,1,0,0,27.6,27.5,1,0,1
r066,altra,provision 6,0,0,0,1,0,0,0,1,9.1,0.0,0,1,1,0,0,0,0,0,3,0,5,0,0,0,0,28.0,28.0,0,0,0
r067,altra,provision 7,0,0,1,1,0,0,0,1,9.1,4.8,0,1,1,3,3,4,4,5,1,5,5,5,1,0,0,32.6,27.8,1,0,1
r068,altra,provision 8,0,0,1,1,0,0,0,1,9.6,0.2,0,1,1,3,3,3,4,3,3,5,5,3,1,0,0,26.0,25.8,0,0,1
r069,altra,rivera 2,1,0,1,1,1,0,1,0,8.6,2.8,0,1,1,5,0,0,0,0,3,0,3,1,1,0,0,24.6,21.8,0,0,0
r070,altra,rivera 3,0,0,1,1,0,0,1,0,9.1,1.7,0,1,1,5,2,4,4,3,3,5,5,3,3,0,0,28.4,26.7,0,0,1
r071,altra,rivera 4,1,0,1,1,1,0,1,0,8.3,0.4,0,1,1,5,3,2,4,3,1,5,5,1,1,0,0,28.4,28.0,0,0,1
r072,altra,torin 6,0,0,1,1,0,0,1,0,9.0,0.0,0,1,1,3,0,0,0,5,3,0,5,3,1,0,0,25.1,25.1,1,0,1
r073,altra,torin 7,0,0,1,1,1,0,1,0,9.0,0.8,0,1,1,5,3,3,3,5,5,5,3,3,3,0,0,27.6,28.4,1,0,1
r074,altra,torin 8,0,0,1,1,0,0,1,0,9.7,0.1,0,1,1,3,4,4,4,3,3,5,3,3,5,0,0,27.6,27.7,0,0,1
r075,altra,vanish carbon 2,1,1,1,0,1,1,1,0,7.4,3.7,0,1,1,3,2,4,3,5,3,5,5,5,1,0,1,33.1,29.4,1,0,1
r076,altra,via olympus,0,0,1,1,0,0,1,0,10.5,1.6,0,1,1,3,0,2,0,3,3,0,5,5,1,0,0,34.2,32.6,0,0,1
r077,altra,via olympus 2,0,0,1,1,0,0,1,0,10.4,0.2,0,1,1,5,4,4,4,1,5,5,5,5,3,0,0,34.8,35.0,0,0,1
r078,apl,streamline,0,0,0,1,1,0,1,0,9.6,10.8,1,0,0,0,0,0,0,0,1,0,5,5,1,0,0,36.7,25.9,0,0,0
r079,asics,dynablast 3,1,0,1,1,0,0,1,0,8.7,9.7,1,1,1,3,4,3,4,1,3,5,5,3,5,0,0,35.7,26.0,0,0,1
r080,asics,dynablast 4,0,0,1,1,0,0,1,0,9.2,6.4,0,1,1,3,4,4,4,1,1,3,3,3,5,0,0,32.6,26.2,0,1,0
r081,asics,dynablast 5,0,0,1,1,0,0,1,0,9.3,7.6,0,1,1,3,4,4,4,3,3,3,3,5,5,0,0,39.4,31.8,0,0,1
r082,asics,gel contend 7,0,0,1,1,0,0,1,0,9.5,9.6,1,1,1,0,0,0,0,0,3,0,5,0,1,0,0,33.3,23.7,0,0,0
r083,asics,gel contend 8,0,0,1,1,0,0,1,0,9.2,9.1,1,1,1,3,0,0,0,5,1,0,5,1,5,0,0,31.1,22.0,1,0,1
r084,asics,gel contend 9,0,0,1,1,0,0,1,0,9.7,7.8,0,1,1,3,2,4,3,3,3,3,3,3,5,0,0,31.2,23.4,0,0,1
r085,asics,gel cumulus 23,0,0,1,1,0,0,1,0,9.8,10.8,1,0,0,0,0,0,0,3,1,0,5,3,5,0,0,35.9,25.1,0,0,1
r086,asics,gel cumulus 24,0,0,1,1,0,0,1,0,9.7,8.6,1,1,1,5,0,0,0,0,1,0,5,1,1,0,0,33.5,24.9,0,0,0
r087,asics,gel cumulus 25,0,0,1,1,0,0,1,0,9.5,11.2,1,0,0,5,3,4,0,3,1,1,3,3,3,0,0,38.4,27.2,0,0,1
r088,asics,gel cumulus 27,0,0,1,1,0,0,1,0,9.2,11.6,1,0,0,5,4,4,2,1,3,3,3,5,5,0,0,40.9,29.3,0,0,1
r089,asics,gel excite 10,0,0,1,1,0,0,1,0,9.5,11.8,1,0,0,3,3,4,4,3,3,3,3,3,3,0,0,35.2,23.4,0,0,1
r090,asics,gel excite 8,0,0,0,1,0,0,1,0,9.5,12.3,1,0,0,0,0,0,0,0,1,0,5,0,0,0,0,35.8,23.5,0,0,0
r091,asics,gel kayano 28,0,0,1,1,0,0,0,1,10.7,8.7,1,1,1,0,0,0,0,0,3,0,0,3,0,0,0,31.8,23.1,0,0,0
r092,asics,gel kayano 30,0,1,1,1,0,0,0,1,10.7,12.0,1,0,0,5,4,2,4,5,3,3,3,5,5,0,0,39.7,27.7,1,0,1
r093,asics,gel kayano 31,0,0,1,1,0,0,0,1,10.4,11.5,1,0,0,5,4,4,3,3,5,3,3,5,5,0,0,39.3,27.8,0,0,1
r094,asics,gel kayano 32,0,0,1,1,0,0,0,1,10.4,9.3,1,1,1,3,4,4,4,3,3,3,3,5,5,0,0,39.9,30.6,0,0,1
r095,asics,gel kayano lite 2,0,1,1,1,0,0,0,1,10.1,11.1,1,0,0,0,0,0,0,0,3,0,5,5,5,0,0,35.9,24.8,0,0,0
r096,asics,gel kayano lite 3,0,1,1,1,0,0,0,1,9.8,8.5,1,1,1,3,0,0,0,5,3,0,5,3,3,0,0,31.8,23.3,1,0,1
r097,asics,gel kinsei max,0,1,1,1,0,0,1,0,11.4,8.6,1,1,1,5,3,3,4,3,3,3,3,5,5,0,0,38.8,30.2,0,0,1
r098,asics,gel nimbus 24,0,1,0,1,0,0,1,0,9.3,8.7,1,1,1,0,0,0,0,0,3,0,5,0,0,0,0,38.7,30.0,0,0,0
r099,asics,gel nimbus 25,0,1,1,1,0,0,1,0,10.2,7.8,0,1,1,5,0,0,0,3,1,0,3,5,3,0,0,38.0,30.2,0,0,1
r100,asics,gel nimbus 26,0,1,1,1,0,0,1,0,10.7,8.4,1,1,1,5,4,4,4,3,5,3,3,5,3,0,0,40.4,32.0,0,0,1
r101,asics,gel nimbus 27,0,1,1,1,0,0,1,0,10.5,8.3,1,1,1,3,3,4,4,3,3,3,5,5,5,0,0,42.7,34.4,0,0,1
r102,asics,gel nimbus lite 3,0,1,0,1,0,0,1,0,9.0,9.9,1,1,1,0,0,0,0,0,3,0,5,0,0,0,0,34.9,25.0,0,0,0
r103,asics,gel pulse 11,0,0,0,1,0,0,1,0,11.1,8.7,1,1,1,0,0,0,0,0,3,0,5,0,0,0,0,34.0,25.3,0,0,0
r104,asics,gel pulse 13,0,0,1,1,0,0,1,0,10.3,11.0,1,0,0,3,2,0,0,5,1,3,3,1,3,0,0,32.6,21.6,1,0,1
r105,asics,gel pulse 14,0,0,1,1,0,0,1,0,10.4,9.7,1,1,1,3,2,4,4,3,3,3,3,3,5,0,0,32.0,22.3,0,0,1
r106,asics,gel pulse 15,1,0,1,1,0,0,1,0,8.4,8.1,1,1,1,3,3,4,4,3,3,3,3,5,5,0,0,35.3,27.2,0,0,1
r107,asics,glideride 3,0,1,1,1,0,0,1,0,9.5,11.1,1,0,0,5,0,2,0,3,1,0,5,5,1,0,0,42.7,31.6,0,0,1
r108,asics,glideride max,0,1,1,1,0,0,1,0,9.9,12.7,1,0,0,5,3,4,4,3,3,3,3,5,5,0,0,44.1,31.4,0,0,1
r109,asics,gt 1000 10,0,0,0,1,0,0,0,1,9.8,7.8,0,1,1,0,0,0,0,0,3,0,5,0,3,0,0,31.0,23.2,0,0,0
r110,asics,gt 1000 11,0,0,1,1,0,0,0,1,9.9,9.0,1,1,1,5,0,0,0,0,1,0,5,3,1,0,0,31.5,22.5,0,0,0
r111,asics,gt 1000 12,0,0,1,1,0,0,0,1,9.6,7.2,0,1,1,5,2,4,4,5,3,5,3,3,3,0,0,30.2,23.0,1,0,1
r112,asics,gt 1000 13,0,0,1,1,0,0,0,1,9.7,8.7,1,1,1,3,3,4,4,3,3,3,3,5,5,0,0,33.7,25.0,0,0,1
r113,asics,gt 1000 14,0,0,1,1,0,0,0,1,9.6,9.6,1,1,1,5,3,4,4,1,3,3,3,5,3,0,0,35.4,25.8,0,0,1
r114,asics,gt 1000 9,0,0,1,1,0,0,0,1,10.1,6.0,0,1,1,0,0,0,0,0,3,0,5,5,5,0,0,31.6,25.6,0,0,0
r115,asics,gt 2000 10,0,0,1,1,0,0,0,1,9.9,7.5,0,1,1,0,0,0,0,0,3,0,5,3,5,0,0,31.5,24.0,0,0,0
r116,asics,gt 2000 11,0,0,1,1,0,0,0,1,9.9,6.0,0,1,1,3,0,0,0,3,1,0,5,3,3,0,0,30.7,24.7,0,0,1
r117,asics,gt 2000 12,0,0,1,1,0,0,0,1,9.7,10.0,1,1,1,3,3,4,4,3,3,3,3,5,5,0,0,36.6,26.6,0,0,1
r118,asics,gt 2000 13,0,0,1,1,0,0,0,1,9.3,9.4,1,1,1,5,4,4,4,3,3,3,3,5,5,0,0,36.6,27.2,0,0,1
r119,asics,gt 2000 14,0,0,1,1,0,0,0,1,9.5,8.7,1,1,1,5,3,4,4,1,3,1,3,5,5,0,0,36.9,28.2,0,0,1
r120,asics,jolt 4,0,0,1,1,0,0,1,0,9.1,9.4,1,1,1,3,2,3,4,5,3,5,3,5,5,0,0,31.6,22.2,1,0,1
r121,asics,magic speed,1,1,0,0,1,0,1,0,8.2,8.3,1,1,1,3,0,0,0,5,1,0,5,5,1,0,1,32.5,24.2,1,0,1
r122,asics,magic speed 2,1,1,0,0,1,0,1,0,8.0,8.7,1,1,1,0,0,0,0,5,1,0,5,5,1,0,1,35.1,26.4,1,0,1
r123,asics,magic speed 3,1,1,1,0,1,0,1,0,7.4,9.8,1,1,1,5,2,3,4,3,1,3,5,5,1,0,1,36.3,26.5,0,0,1
r124,asics,magic speed 4,1,1,1,0,1,1,1,0,8.4,9.6,1,1,1,5,4,4,4,5,3,3,5,5,1,0,1,42.5,32.9,1,0,1
r125,asics,megablast,1,1,1,0,1,1,1,0,7.7,9.9,1,1,1,5,2,4,4,3,3,3,5,5,3,0,0,45.1,35.2,0,0,1
r126,asics,metaspeed edge,1,1,0,0,0,1,1,0,6.2,8.0,1,1,1,0,0,0,0,0,1,0,5,5,1,0,1,31.6,23.6,0,0,0
r127,asics,metaspeed edge tokyo,1,1,1,0,0,1,1,0,5.6,6.9,0,1,1,5,2,4,4,5,1,3,3,5,1,0,1,38.9,32.0,1,0,1
r128,asics,metaspeed edge+,1,1,0,0,0,1,1,0,7.3,8.1,1,1,1,1,0,0,0,5,1,0,5,5,1,0,1,33.3,25.2,1,0,1
r129,asics,metaspeed ray,1,1,1,0,0,1,1,0,4.6,9.8,1,1,1,5,2,4,3,3,1,1,3,3,1,0,1,39.8,30.0,0,0,1
r130,asics,metaspeed sky,1,1,0,0,0,1,1,0,6.7,2.5,0,1,1,0,0,0,0,5,1,0,0,5,0,0,1,33.7,31.2,1,0,1
r131,asics,metaspeed sky paris,1,1,1,0,0,1,1,0,6.5,6.5,0,1,1,3,4,4,4,5,1,3,5,5,1,0,1,39.1,32.6,1,0,1
r132,asics,metaspeed sky tokyo,1,1,1,0,0,1,1,0,5.7,6.0,0,1,1,5,2,4,3,5,1,1,5,5,1,0,1,38.7,32.7,1,0,1
r133,asics,metaspeed sky+,1,1,0,0,0,1,1,0,7.2,2.7,0,1,1,0,0,4,0,5,1,0,5,5,1,0,1,33.5,30.8,1,0,1
r134,asics,noosa tri 14,1,1,1,1,1,0,1,0,7.5,8.0,1,1,1,5,0,0,0,3,1,0,5,3,1,0,0,30.2,22.2,0,0,1
r135,asics,noosa tri 15,1,1,1,1,1,0,1,0,7.7,7.7,0,1,1,5,2,4,4,5,5,3,3,5,3,0,0,34.6,26.9,1,0,1
r136,asics,noosa tri 16,1,0,1,1,1,0,1,0,7.7,5.9,0,1,1,5,2,4,3,5,5,5,3,5,3,0,0,32.8,26.9,1,0,1
r137,asics,novablast 2,0,1,1,1,1,0,1,0,9.6,13.7,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,39.3,25.6,0,0,0
r138,asics,novablast 4,0,1,1,1,0,0,1,0,9.1,9.0,1,1,1,5,3,4,4,3,1,3,5,5,3,0,0,39.2,30.2,0,0,1
r139,asics,novablast 5,0,1,1,1,1,0,1,0,9.0,7.4,1,1,1,5,2,3,4,3,3,3,3,5,3,0,0,40.9,33.5,0,0,1
r140,asics,sonicblast,0,1,1,1,1,0,1,0,9.0,9.0,1,1,1,5,2,4,3,5,1,1,5,5,1,0,0,45.4,36.4,1,0,1
r141,asics,superblast,1,1,1,1,1,0,1,0,8.6,7.9,0,1,1,3,2,3,4,3,1,3,5,5,3,0,0,42.7,34.8,0,0,1
