Brand,Name,terrain_light,terrain_moderate,terrain_technical,shock_low,shock_moderate,shock_high,energy_low,energy_moderate,energy_high,traction_moderate,traction_high,arch_neutral,arch_stability,weight_lab_oz,drop_lab_mm,strike_heel,strike_mid,strike_forefoot,softness_soft,softness_balanced,softness_firm,toebox_durability,heel_durability,outsole_durability,breathability,plate_0,plate_rock_plate,plate_carbon_plate,width_narrow,width_medium,width_wide,toebox_narrow,toebox_medium,toebox_wide,stiffness_flexible,stiffness_moderate,stiffness_stiff,torsional_flexible,torsional_moderate,torsional_stiff,heel_stiff_flexible,heel_stiff_moderate,heel_stiff_stiff,lug_depth,heel_lab_mm,forefoot_lab_mm,season_summer,season_winter,season_all,heavy_runners,removable_insole,orthotic_friendly,not_waterproof,waterproof,water_repellent,lightweight
adidas,terrex agravic speed ultra,1,0,0,0,1,0,0,0,1,0,0,1,0,9.1,0.3,0,1,1,0,1,0,4,4,3,3,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,2.5,30.6,30.3,0,0,1,0,1,1,1,0,0,0
adidas,terrex speed ultra,1,0,0,0,0,0,0,0,0,0,0,1,0,9.1,8.2,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2.6,32.8,24.6,0,0,0,0,1,1,1,0,0,0
altra,experience wild,1,1,0,0,1,0,1,0,0,0,0,1,0,10.1,4.3,0,1,1,1,0,0,3,3,4,3,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,3.6,34.5,30.2,0,0,1,0,1,1,1,0,0,0
altra,experience wild 2,1,0,0,0,1,0,1,0,0,0,1,1,0,9.4,6.1,0,1,1,0,1,0,3,4,4,2,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,3.5,32.3,26.2,0,0,1,0,1,1,1,0,0,0
altra,lone peak 5.0,1,1,0,0,0,0,0,0,0,0,0,1,0,10.7,0.2,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3.7,24.5,24.3,0,0,0,0,1,1,1,0,0,0
altra,lone peak 6,0,1,1,0,0,0,0,0,0,0,0,1,0,9.8,0.6,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4.4,25.1,24.5,0,0,0,0,0,0,1,0,0,0
altra,lone peak 7,0,1,0,0,0,0,0,0,0,0,0,1,0,10.4,0.2,0,1,1,0,1,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3.4,23.3,23.1,0,0,1,0,1,1,1,0,0,0
altra,lone peak 8,1,1,0,0,0,0,0,0,0,0,0,1,0,10.2,1.4,0,1,1,0,1,0,4,3,3,3,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,3.0,22.7,21.3,0,0,1,0,1,1,1,0,0,0
altra,lone peak 9,1,1,0,1,0,0,0,1,0,0,0,1,0,10.9,0.0,0,1,1,0,1,0,3,3,4,2,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,3.8,23.3,23.3,0,0,1,0,1,1,1,0,0,0
altra,mont blanc,1,1,0,0,0,0,0,0,0,0,0,1,0,9.6,0.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2.8,33.8,33.8,0,0,0,0,0,0,1,0,0,0
altra,mont blanc carbon,0,1,0,0,0,0,0,0,0,0,0,1,0,8.9,0.3,0,1,1,1,0,0,3,2,4,3,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,3.5,27.2,26.9,0,0,1,0,1,1,1,0,0,0
altra,olympus 275,1,0,0,0,1,0,1,0,0,0,1,1,0,10.7,0.3,0,1,1,0,1,0,4,3,4,3,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,3.5,30.8,30.5,0,0,1,0,1,1,1,0,0,0
altra,olympus 5,1,1,0,0,0,0,0,0,0,0,0,1,0,11.5,2.0,0,1,1,0,1,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,3.0,33.0,31.0,0,0,1,0,1,1,1,0,0,0
altra,olympus 6,1,1,0,0,1,0,0,1,0,0,0,1,0,12.6,0.7,0,1,1,0,1,0,5,4,4,5,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,3.5,32.2,31.5,1,0,1,1,1,1,1,0,0,0
altra,outroad,1,0,0,0,0,0,0,0,0,0,0,1,0,10.1,0.1,0,1,1,0,1,0,0,0,0,3,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,2.3,25.1,25.0,0,0,1,0,1,1,1,0,0,0
altra,outroad 2,1,0,0,0,0,0,0,0,0,0,0,1,0,10.3,1.4,0,1,1,0,1,0,2,3,4,3,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,2.2,26.9,25.5,0,0,1,0,1,1,1,0,0,0
altra,outroad 3,1,0,0,0,0,0,0,0,0,0,0,1,0,9.2,0.6,0,1,1,0,1,0,3,2,2,2,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1.5,23.8,23.2,0,0,1,0,1,1,1,0,0,0
altra,superior 6,1,1,0,0,0,0,0,0,0,0,0,1,0,9.6,0.1,0,1,1,0,1,0,1,3,4,5,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,3.3,22.1,22.0,1,0,1,0,1,1,1,0,0,0
altra,superior 7,1,0,0,1,0,0,1,0,0,0,1,1,0,8.3,0.6,0,1,1,0,1,0,3,4,4,3,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,3.5,20.6,20.0,0,0,1,0,1,1,1,0,0,1
altra,timp 4,1,1,0,0,0,0,0,0,0,0,0,1,0,11.1,0.1,0,1,1,0,1,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,2.9,29.0,28.9,0,0,1,0,1,1,1,0,0,0
altra,timp 5,1,1,0,0,1,0,1,0,0,0,0,1,0,9.5,0.1,0,1,1,0,1,0,4,3,4,3,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,3.0,28.6,28.7,0,0,1,0,1,1,1,0,0,0
altra,timp 5 gtx,1,1,0,0,1,0,1,0,0,0,1,1,0,11.0,0.3,0,1,1,1,0,0,3,3,4,2,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,3.5,28.9,28.6,0,1,0,0,1,1,0,1,0,0
asics,gel excite trail 2,1,0,0,0,1,0,1,0,0,0,0,1,0,10.3,10.1,1,0,0,0,1,0,1,2,3,3,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,4.0,37.7,27.6,0,0,1,1,1,1,1,0,0,0
asics,gel trabuco 12,0,1,1,0,1,0,0,1,0,0,0,1,0,10.5,7.8,0,1,1,1,0,0,4,4,4,3,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,4.5,35.4,27.6,0,0,1,0,1,1,1,0,0,0
asics,gel trabuco 13,1,0,0,0,1,0,0,1,0,0,0,1,0,10.2,7.0,0,1,1,0,1,0,4,4,4,3,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,3.3,33.8,26.8,0,0,1,0,1,1,1,0,0,0
asics,gel venture 10,1,1,0,1,0,0,1,0,0,0,0,1,0,11.4,12.0,1,0,0,1,0,0,4,4,4,3,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,3.7,35.3,23.3,0,0,1,0,1,1,1,0,0,0
asics,gel venture 8,1,1,0,0,0,0,0,0,0,0,0,1,0,10.4,13.2,1,0,0,0,1,0,2,3,4,5,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,3.1,34.2,21.0,1,0,1,0,1,1,1,0,0,0
asics,gel venture 9,1,1,0,1,0,0,1,0,0,0,0,1,0,11.1,10.4,1,0,0,0,1,0,1,3,0,3,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,3.0,33.3,22.9,0,0,1,0,1,1,1,0,0,0
asics,metafuji trail,1,0,0,0,0,1,0,1,0,0,1,1,0,9.1,10.3,1,0,0,1,0,0,1,4,3,5,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,2.7,44.7,34.4,1,0,1,0,1,1,1,0,0,0
asics,trabuco max 2,0,1,1,0,0,0,0,0,0,0,0,1,0,10.3,8.5,1,1,1,1,0,0,3,4,3,5,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,4.2,39.7,31.2,1,0,1,0,1,1,1,0,0,0
asics,trabuco max 3,0,1,1,0,0,1,0,1,0,0,0,1,0,10.9,8.5,1,1,1,1,0,0,4,4,3,2,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,4.0,42.4,33.9,0,0,1,0,1,1,1,0,0,0
asics,trabuco max 4,1,0,0,0,1,0,0,1,0,0,1,1,0,11.0,6.1,0,1,1,0,1,0,3,4,3,3,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,3.1,39.3,33.2,0,0,1,0,1,1,1,0,0,0
asics,trail scout 2,0,1,0,0,0,0,0,0,0,0,0,1,0,11.4,10.3,1,0,0,0,1,0,0,0,0,3,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,4.2,32.8,22.5,0,0,1,0,1,1,1,0,0,0
brooks,caldera 6,1,1,0,0,0,0,0,0,0,0,0,1,0,11.1,12.1,1,0,0,1,0,0,5,3,4,3,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,3.5,38.4,26.3,0,0,1,0,1,1,1,0,0,0
brooks,caldera 7,1,1,0,0,0,1,0,1,0,0,0,1,0,10.8,8.9,1,1,1,1,0,0,3,4,3,5,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,4.0,36.7,27.8,1,0,1,0,1,1,1,0,0,0
brooks,caldera 8,1,1,0,0,1,0,0,1,0,0,1,1,0,10.9,8.8,1,1,1,1,0,0,2,4,3,3,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,3.6,36.7,27.9,0,0,1,0,1,1,1,0,0,0
brooks,cascadia 16,0,0,1,0,0,0,0,0,0,0,0,1,0,10.9,10.3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,4.3,32.3,22.0,0,0,0,0,1,1,1,0,0,0
brooks,cascadia 17,0,1,1,0,0,0,0,0,0,0,0,1,0,11.6,9.2,1,1,1,0,1,0,2,2,4,5,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,3.9,33.1,23.9,1,0,1,0,1,1,1,0,0,0
brooks,cascadia 18,1,1,0,1,0,0,1,0,0,0,0,1,0,10.9,8.8,1,1,1,0,1,0,1,3,3,3,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,4.0,32.6,23.8,0,0,1,0,1,1,1,0,0,0
brooks,cascadia 19,1,1,0,0,1,0,0,1,0,0,1,1,0,10.8,7.8,0,1,1,0,1,0,4,3,4,3,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,3.8,34.8,27.0,0,0,1,1,1,1,1,0,0,0
brooks,catamount 2,1,1,0,0,0,0,0,0,0,0,0,1,0,9.7,6.4,0,1,1,0,1,0,2,4,4,3,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,3.0,29.0,22.6,0,0,1,0,1,1,0,0,1,0
brooks,catamount 3,1,1,0,0,0,0,0,0,0,0,0,1,0,9.0,6.8,0,1,1,0,1,0,1,4,3,2,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,2.9,28.3,21.5,0,0,1,0,1,1,1,0,0,0
brooks,divide 3,1,1,0,0,0,0,0,0,0,0,0,1,0,10.3,8.4,1,1,1,0,0,1,1,2,4,3,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,3.1,31.1,22.7,0,0,1,0,1,1,1,0,0,0
brooks,divide 4,1,0,0,0,0,0,0,0,0,0,0,1,0,9.9,9.2,1,1,1,0,1,0,2,2,3,3,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,2.7,32.1,22.9,0,0,1,0,1,1,1,0,0,0
brooks,divide 5 gtx,1,0,0,0,1,0,1,0,0,0,1,1,0,10.1,10.0,1,1,1,0,1,0,4,4,4,2,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,3.0,35.5,25.5,0,1,0,0,1,1,0,1,0,0
hoka,challenger 7,1,1,0,0,0,1,1,0,0,0,0,1,0,8.8,8.8,1,1,1,1,0,0,4,3,0,2,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,3.1,32.9,24.1,0,0,1,0,1,1,1,0,0,0
hoka,challenger 7 gtx,0,1,1,0,0,0,0,0,0,0,0,1,0,9.9,11.1,1,0,0,1,0,0,5,3,4,2,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,3.8,39.2,28.1,0,1,0,0,1,1,0,1,1,0
hoka,challenger 8,1,1,0,0,0,1,1,0,0,0,1,1,0,9.5,10.1,1,0,0,1,0,0,4,4,4,5,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,3.7,40.2,30.1,1,0,1,0,1,1,1,0,0,0
hoka,mafate 5,1,1,0,0,0,1,0,1,0,0,1,1,0,11.1,9.0,1,1,1,1,0,0,3,3,4,3,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,4.4,42.9,33.9,0,0,1,0,1,1,1,0,0,0
hoka,mafate speed 4,0,1,1,0,1,0,0,1,0,0,0,1,0,10.3,7.2,0,1,1,1,0,0,4,4,4,3,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,3.9,38.0,30.8,0,0,1,0,1,1,1,0,0,0
hoka,mafate three2,1,0,0,0,0,0,0,0,0,0,0,1,0,11.7,3.9,0,1,1,1,0,0,5,3,4,3,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,4.0,35.6,31.7,0,0,1,0,1,1,1,0,0,0
hoka,mafate x,1,1,0,0,0,1,0,1,0,0,1,1,0,11.8,10.6,1,0,0,0,1,0,2,4,4,3,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,3.0,47.3,36.7,0,0,1,1,1,1,1,0,0,0
hoka,speedgoat 5,1,1,0,0,1,0,1,0,0,0,0,1,0,9.8,3.8,0,1,1,1,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,3.0,27.5,23.7,0,0,1,0,1,1,1,0,0,0
hoka,speedgoat 5 gtx,0,1,0,0,0,0,0,0,0,0,0,1,0,11.3,7.0,0,1,1,1,0,0,4,4,3,3,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,3.5,34.6,27.6,0,1,0,0,1,1,0,1,0,0
hoka,speedgoat 6,0,1,0,0,1,0,1,0,0,0,0,1,0,9.8,4.9,0,1,1,0,1,0,4,4,3,2,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,4.0,32.1,27.2,0,0,1,1,1,1,1,0,0,0
hoka,speedgoat 6 gtx,0,1,0,0,0,0,0,0,0,0,0,1,0,10.2,5.0,0,1,1,0,1,0,5,4,4,2,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,3.9,32.9,27.9,0,1,0,0,1,1,0,1,0,0
hoka,stinson 7,1,1,0,0,1,0,0,1,0,0,0,1,0,12.1,7.0,0,1,1,1,0,0,1,2,3,3,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,3.0,40.0,33.0,0,0,1,0,1,1,1,0,0,0
hoka,tecton x,0,1,0,0,0,0,0,0,0,0,0,1,0,8.6,8.0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,3.5,35.3,27.3,0,0,0,0,1,1,1,0,0,1
hoka,tecton x 2,0,1,0,0,0,0,0,0,0,0,0,1,0,9.1,5.6,0,1,1,0,1,0,4,2,4,3,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,3.6,37.4,31.8,0,0,1,0,1,1,1,0,0,0
hoka,tecton x 3,1,1,0,0,0,1,0,0,1,0,0,1,0,9.7,6.9,0,1,1,1,0,0,4,3,4,3,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,4.0,37.8,30.9,0,0,1,0,1,1,0,0,1,0
hoka,torrent 3,0,1,0,0,0,0,0,0,0,0,0,1,0,9.1,7.1,0,1,1,0,1,0,3,3,4,3,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,3.6,29.5,22.4,0,0,1,0,1,1,1,0,0,0
hoka,zinal,1,1,0,0,0,0,0,0,0,0,0,1,0,8.4,3.9,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,3.4,29.3,25.4,0,0,0,0,1,1,1,0,0,1
hoka,zinal 2,0,1,0,0,0,0,0,0,0,0,0,1,0,7.5,7.2,0,1,1,1,0,0,1,4,3,3,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,3.7,29.8,22.6,0,0,1,0,1,1,1,0,0,1
icebug,järv rb9x,0,1,1,0,1,0,0,1,0,0,1,1,0,11.6,6.0,0,1,1,0,1,0,4,3,3,2,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,5.0,37.0,31.0,0,0,1,0,1,1,1,0,0,0
inov8,trailfly,1,1,0,0,0,0,0,0,0,0,0,1,0,9.9,6.0,0,1,1,1,0,0,3,4,4,3,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,3.9,30.1,24.1,0,0,1,0,1,1,1,0,0,0
inov8,trailfly max,1,1,0,0,1,0,1,0,0,0,1,1,0,10.2,7.6,0,1,1,0,1,0,3,3,4,3,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,3.4,37.1,29.5,0,0,1,0,1,1,1,0,0,0
inov8,trailfly zero,1,1,0,1,0,0,1,0,0,0,1,1,0,9.4,0.5,0,1,1,0,1,0,3,3,4,3,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,3.4,24.9,24.4,0,0,1,0,1,1,1,0,0,0
inov8,trailtalon,0,1,1,0,0,0,0,0,0,0,0,1,0,10.2,7.8,0,1,1,1,0,0,1,4,4,2,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,5.4,34.2,26.4,0,0,0,0,1,1,1,0,0,0
kailas,flythorn air 2.0,1,1,0,0,0,0,0,0,0,0,0,1,0,10.6,10.3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,3.0,30.6,20.3,0,0,0,0,1,1,1,0,0,0
kailas,fuga du,0,1,0,0,0,0,0,0,0,0,0,1,0,10.8,11.6,1,0,0,0,1,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,3.2,36.9,25.3,0,0,1,0,1,1,1,0,0,0
kailas,fuga elite 2,1,0,0,0,0,0,0,0,0,0,0,1,0,10.9,12.5,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2.5,40.4,27.9,0,0,0,0,1,1,1,0,0,0
kailas,fuga ex 2,0,1,1,0,0,0,0,0,0,0,0,1,0,10.4,10.6,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,4.0,38.0,27.4,0,0,0,0,1,1,1,0,0,0
kailas,fuga ex 3,1,1,0,0,1,0,1,0,0,0,1,1,0,10.3,13.7,1,0,0,0,1,0,3,3,4,3,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,3.4,38.4,24.7,0,0,1,0,1,1,1,0,0,0
kailas,fuga ex boa,0,1,0,0,0,0,0,0,0,0,0,1,0,9.9,10.9,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,3.7,38.5,27.6,0,0,0,0,1,1,1,0,0,0
kailas,fuga ex pro,1,1,0,0,1,0,0,0,1,0,1,1,0,9.6,7.2,0,1,1,0,1,0,2,3,4,3,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,3.7,37.9,30.7,0,0,1,0,1,1,1,0,0,0
kailas,fuga pro 4,0,1,0,0,0,0,0,0,0,0,0,1,0,9.8,10.0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,3.4,31.7,21.8,0,0,0,0,1,1,1,0,0,0
