Brand,Name,Lightweight,Size,Lug depth,Widths available,For heavy runners,Removable insole,Orthotic friendly,Ranking,Popularity,terrain_norm,terrain_light,terrain_moderate,terrain_technical,Arch_grouped,arch_neutral,arch_stability,Strike_norm,strike_forefoot,strike_heel,strike_mid,drop_lab_mm,drop_brand_mm,midsole_soft,midsole_balanced,midsole_firm,plate_carbon,plate_rock,plate_none,toebox_bad,toebox_decent,toebox_good,heelpad_bad,heelpad_decent,heelpad_good,outsole_bad,outsole_decent,outsole_good,breath_breathable,breath_moderate,breath_warm,width_narrow,width_medium,width_wide,toeboxwidth_narrow,toeboxwidth_medium,toeboxwidth_wide,stiff_flexible,stiff_moderate,stiff_stiff,torsion_flexible,torsion_moderate,torsion_stiff,heelcounter_flexible,heelcounter_moderate,heelcounter_stiff,heel_lab_mm,heel_brand_mm,forefoot_lab_mm,forefoot_brand_mm,season_all,season_summer,season_winter,water_proof,water_repellent,water_both,water_none
Adidas,Terrex Agravic Speed Ultra,0,Slightly large,2.5 mm,Normal,0,1,1,#67 Top 19%,#163 Top 45%,Light,1,0,0,Neutral,1,0,Mid|Forefoot,1,0,1,0.3,8.0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,30.6,38.0,30.3,30.0,1,0,0,0,0,0,1
Adidas,Terrex Speed Ultra,0,True to size,2.6 mm,Normal,0,1,1,#45 Top 13%,#294 Bottom 20%,Light,1,0,0,Neutral,1,0,Heel|Mid|Forefoot,1,1,1,8.2,8.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,32.8,26.0,24.6,18.0,0,0,0,0,0,0,1
Altra,Experience Wild,0,True to size,3.6 mm,Normal,0,1,1,#251 Top 39%,#308 Top 48%,Light|Moderate,1,1,0,Neutral,1,0,Mid|Forefoot,1,0,1,4.3,4.0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,34.5,34.0,30.2,30.0,1,0,0,0,0,0,1
Altra,Experience Wild 2,0,-,3.5 mm,Normal,0,1,1,#315 Bottom 14%,#211 Bottom 42%,Light,1,0,0,Neutral,1,0,Mid|Forefoot,1,0,1,6.1,4.0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,32.3,32.0,26.2,28.0,1,0,0,0,0,0,1
Altra,Lone Peak 5.0,0,True to size,3.7 mm,Normal,0,1,1,#62 Top 10%,#63 Top 10%,Light|Moderate,1,1,0,Neutral,1,0,Mid|Forefoot,1,0,1,0.2,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,24.5,25.0,24.3,25.0,0,0,0,0,0,0,1
Altra,Lone Peak 6,0,True to size,4.4 mm,NormalWide,0,0,0,#139 Top 22%,#290 Top 45%,Moderate|Technical,0,1,1,Neutral,1,0,Mid|Forefoot,1,0,1,0.6,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,25.1,25.0,24.5,25.0,0,0,0,0,0,0,1
Altra,Lone Peak 7,0,True to size,3.4 mm,NormalWide,0,1,1,#387 Bottom 40%,#227 Top 36%,Moderate,0,1,0,Neutral,1,0,Mid|Forefoot,1,0,1,0.2,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,23.3,25.0,23.1,25.0,1,0,0,0,0,0,1
Altra,Lone Peak 8,0,True to size,3.0 mm,NormalWide,0,1,1,#540 Bottom 16%,#177 Top 28%,Light|Moderate,1,1,0,Neutral,1,0,Mid|Forefoot,1,0,1,1.4,0.0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,22.7,25.0,21.3,25.0,1,0,0,0,0,0,1
Altra,Lone Peak 9,0,True to size,3.8 mm,NormalWide,0,1,1,#30 Top 9%,#42 Top 12%,Light|Moderate,1,1,0,Neutral,1,0,Mid|Forefoot,1,0,1,0.0,0.0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,23.3,25.0,23.3,25.0,1,0,0,0,0,0,1
Altra,Mont Blanc,0,True to size,2.8 mm,NormalWide,0,0,0,#317 Bottom 13%,#232 Bottom 36%,Light|Moderate,1,1,0,Neutral,1,0,Mid|Forefoot,1,0,1,0.0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,33.8,30.0,33.8,,0,0,0,0,0,0,1
Altra,Mont Blanc Carbon,0,True to size,3.5 mm,Normal,0,1,1,#180 Top 49%,#263 Bottom 28%,Moderate,0,1,0,Neutral,1,0,Mid|Forefoot,1,0,1,0.3,0.0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,27.2,29.0,26.9,29.0,1,0,0,0,0,0,1
Altra,Olympus 5,0,Slightly small,3.0 mm,Normal,0,1,1,#503 Bottom 22%,#284 Top 44%,Light|Moderate,1,1,0,Neutral,1,0,Mid|Forefoot,1,0,1,2.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,33.0,33.0,31.0,33.0,1,0,0,0,0,0,1
Altra,Olympus 6,0,Half size small,3.5 mm,Normal,1,1,1,#274 Bottom 25%,#106 Top 29%,Light|Moderate,1,1,0,Neutral,1,0,Mid|Forefoot,1,0,1,0.7,0.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,32.2,35.0,31.5,35.0,1,1,0,0,0,0,1
Altra,Outroad,0,Slightly small,2.3 mm,Normal,0,1,1,#550 Bottom 14%,#510 Bottom 21%,Light,1,0,0,Neutral,1,0,Mid|Forefoot,1,0,1,0.1,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,25.1,27.0,25.0,27.0,1,0,0,0,0,0,1
Altra,Outroad 2,0,Slightly small,2.2 mm,Normal,0,1,1,#581 Bottom 10%,#552 Bottom 14%,Light,1,0,0,Neutral,1,0,Mid|Forefoot,1,0,1,1.4,0.0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,26.9,27.5,25.5,27.5,1,0,0,0,0,0,1
Altra,Outroad 3,0,Slightly small,1.5 mm,Normal,0,1,1,#289 Bottom 21%,#272 Bottom 26%,Light,1,0,0,Neutral,1,0,Mid|Forefoot,1,0,1,0.6,0.0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,23.8,27.0,23.2,27.0,1,0,0,0,0,0,1
Altra,Superior 6,0,Slightly small,3.3 mm,Normal,0,1,1,#324 Bottom 11%,#260 Bottom 29%,Light|Moderate,1,1,0,Neutral,1,0,Mid|Forefoot,1,0,1,0.1,0.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,22.1,20.5,22.0,20.5,1,1,0,0,0,0,1
Altra,Timp 4,0,True to size,2.9 mm,Normal,0,1,1,#595 Bottom 8%,#507 Bottom 21%,Light|Moderate,1,1,0,Neutral,1,0,Mid|Forefoot,1,0,1,0.1,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,29.0,30.0,28.9,30.0,1,0,0,0,0,0,1
Altra,Timp 5,0,Slightly small,3.0 mm,Normal,0,1,1,#304 Bottom 17%,#138 Top 38%,Light|Moderate,1,1,0,Neutral,1,0,Mid|Forefoot,1,0,1,0.1,0.0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,28.6,29.0,28.7,29.0,1,0,0,0,0,0,1
Altra,Timp 5 GTX,0,-,3.5 mm,Normal,0,1,1,#365 Bottom 1%,#280 Bottom 23%,Light|Moderate,1,1,0,Neutral,1,0,Mid|Forefoot,1,0,1,0.3,0.0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,28.9,29.0,28.6,29.0,0,0,1,1,0,0,0
Asics,Gel Excite Trail 2,0,True to size,4.0 mm,Normal,1,1,1,#293 Bottom 20%,#205 Bottom 44%,Light,1,0,0,Neutral,1,0,Heel,0,1,0,10.1,8.0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,37.7,36.0,27.6,28.0,1,0,0,0,0,0,1
Asics,Gel Trabuco 12,0,True to size,4.5 mm,Normal,0,1,1,#111 Top 18%,#166 Top 26%,Moderate|Technical,0,1,1,Neutral,1,0,Mid|Forefoot,1,0,1,7.8,8.0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,35.4,36.0,27.6,28.0,1,0,0,0,0,0,1
Asics,Gel Trabuco 13,0,True to size,3.3 mm,Normal,0,1,1,#135 Top 37%,#108 Top 30%,Light,1,0,0,Neutral,1,0,Mid|Forefoot,1,0,1,7.0,8.0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,33.8,34.0,26.8,26.0,1,0,0,0,0,0,1
Asics,Metafuji Trail,0,True to size,2.7 mm,NormalWide,0,1,1,#61 Top 17%,#300 Bottom 18%,Light,1,0,0,Neutral,1,0,Heel,0,1,0,10.3,5.0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,44.7,44.0,34.4,39.0,1,1,0,0,0,0,1
Asics,Trabuco Max 3,0,Slightly small,4.0 mm,Normal,0,1,1,#76 Top 12%,#165 Top 26%,Moderate|Technical,0,1,1,Neutral,1,0,Heel|Mid|Forefoot,1,1,1,8.5,5.0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,42.4,43.0,33.9,38.0,1,0,0,0,0,0,1
Asics,Trabuco Max 4,0,Half size small,3.1 mm,Normal,0,1,1,#134 Top 37%,#107 Top 30%,Light,1,0,0,Neutral,1,0,Mid|Forefoot,1,0,1,6.1,5.0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,39.3,41.0,33.2,36.0,1,0,0,0,0,0,1
Brooks,Caldera 6,0,True to size,3.5 mm,Normal,0,1,1,#245 Top 38%,#446 Bottom 31%,Light|Moderate,1,1,0,Neutral,1,0,Heel,0,1,0,12.1,6.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,38.4,36.0,26.3,30.0,1,0,0,0,0,0,1
Brooks,Caldera 7,0,True to size,4.0 mm,Normal,0,1,1,#260 Top 41%,#389 Bottom 39%,Light|Moderate,1,1,0,Neutral,1,0,Heel|Mid|Forefoot,1,1,1,8.9,6.0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,36.7,39.0,27.8,33.0,1,1,0,0,0,0,1
Brooks,Caldera 8,0,True to size,3.6 mm,Normal,0,1,1,#87 Top 24%,#168 Top 46%,Light|Moderate,1,1,0,Neutral,1,0,Heel|Mid|Forefoot,1,1,1,8.8,6.0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,36.7,39.0,27.9,33.0,1,0,0,0,0,0,1
Brooks,Cascadia 16,0,Slightly small,4.3 mm,NormalWide,0,1,1,#290 Top 45%,#391 Bottom 39%,Technical,0,0,1,Neutral,1,0,Heel,0,1,0,10.3,8.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,32.3,29.0,22.0,21.0,0,0,0,0,0,0,1
Brooks,Cascadia 17,0,True to size,3.9 mm,NormalWide,0,1,1,#360 Bottom 44%,#394 Bottom 39%,Moderate|Technical,0,1,1,Neutral,1,0,Heel|Mid|Forefoot,1,1,1,9.2,8.0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,33.1,,23.9,,1,1,0,0,0,0,1
Brooks,Cascadia 18,0,True to size,4.0 mm,NormalWide,0,1,1,#391 Bottom 39%,#214 Top 34%,Light|Moderate,1,1,0,Neutral,1,0,Heel|Mid|Forefoot,1,1,1,8.8,8.0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,32.6,33.0,23.8,25.0,1,0,0,0,0,0,1
Brooks,Cascadia 19,0,True to size,3.8 mm,NormalWide,1,1,1,#184 Top 50%,#117 Top 32%,Light|Moderate,1,1,0,Neutral,1,0,Mid|Forefoot,1,0,1,7.8,6.0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,34.8,35.0,27.0,29.0,1,0,0,0,0,0,1
Brooks,Catamount 2,0,True to size,3.0 mm,Normal,0,1,1,#316 Top 49%,#560 Bottom 13%,Light|Moderate,1,1,0,Neutral,1,0,Mid|Forefoot,1,0,1,6.4,6.0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,29.0,29.0,22.6,23.0,1,0,0,0,1,0,0
Brooks,Catamount 3,0,True to size,2.9 mm,Normal,0,1,1,#81 Top 23%,#242 Bottom 34%,Light|Moderate,1,1,0,Neutral,1,0,Mid|Forefoot,1,0,1,6.8,6.0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,28.3,30.0,21.5,24.0,1,0,0,0,0,0,1
Brooks,Divide 3,0,Half size small,3.1 mm,Normal,0,1,1,#124 Top 20%,#609 Bottom 5%,Light|Moderate,1,1,0,Neutral,1,0,Heel|Mid|Forefoot,1,1,1,8.4,8.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,31.1,30.0,22.7,22.0,1,0,0,0,0,0,1
Brooks,Divide 4,0,True to size,2.7 mm,Normal,0,1,1,#183 Top 50%,#308 Bottom 16%,Light,1,0,0,Neutral,1,0,Heel|Mid|Forefoot,1,1,1,9.2,8.0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,32.1,30.0,22.9,22.0,1,0,0,0,0,0,1
Brooks,Divide 5 GTX,0,True to size,3.0 mm,Normal,0,1,1,#321 Bottom 12%,#299 Bottom 18%,Light,1,0,0,Neutral,1,0,Heel|Mid|Forefoot,1,1,1,10.0,8.0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,35.5,24.0,25.5,16.0,0,0,1,1,0,0,0
Hoka,Challenger 7,0,True to size,3.1 mm,NormalWide,0,1,1,#436 Bottom 32%,#141 Top 22%,Light|Moderate,1,1,0,Neutral,1,0,Heel|Mid|Forefoot,1,1,1,8.8,5.0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,32.9,31.0,24.1,26.0,1,0,0,0,0,0,1
Hoka,Challenger 7 GTX,0,True to size,3.8 mm,Normal,0,1,1,#325 Bottom 11%,#127 Top 35%,Moderate|Technical,0,1,1,Neutral,1,0,Heel,0,1,0,11.1,5.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,39.2,31.0,28.1,26.0,0,0,1,0,0,1,0
Hoka,Challenger 8,0,-,3.7 mm,NormalWide,0,1,1,#360 Bottom 2%,#58 Top 16%,Light|Moderate,1,1,0,Neutral,1,0,Heel,0,1,0,10.1,8.0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,40.2,42.0,30.1,34.0,1,1,0,0,0,0,1
Hoka,Mafate 5,0,-,4.4 mm,Normal,0,1,1,#361 Bottom 1%,#121 Top 33%,Light|Moderate,1,1,0,Neutral,1,0,Heel|Mid|Forefoot,1,1,1,9.0,8.0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,42.9,45.0,33.9,37.0,1,0,0,0,0,0,1
Hoka,Mafate Speed 4,0,True to size,3.9 mm,Normal,0,1,1,#132 Top 36%,#84 Top 23%,Moderate|Technical,0,1,1,Neutral,1,0,Mid|Forefoot,1,0,1,7.2,4.0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,38.0,33.0,30.8,29.0,1,0,0,0,0,0,1
Hoka,Mafate Three2,0,Slightly small,4.0 mm,Normal,0,1,1,#329 Bottom 10%,#200 Bottom 45%,Light,1,0,0,Neutral,1,0,Mid|Forefoot,1,0,1,3.9,4.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,35.6,35.0,31.7,31.0,1,0,0,0,0,0,1
Hoka,Mafate X,0,-,3.0 mm,Normal,1,1,1,#185 Bottom 49%,#192 Bottom 47%,Light|Moderate,1,1,0,Neutral,1,0,Heel,0,1,0,10.6,8.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,47.3,49.0,36.7,41.0,1,0,0,0,0,0,1
Hoka,Speedgoat 5,0,True to size,3.0 mm,NormalWide,0,1,1,#237 Top 37%,#115 Top 18%,Light|Moderate,1,1,0,Neutral,1,0,Mid|Forefoot,1,0,1,3.8,4.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,27.5,33.0,23.7,29.0,1,0,0,0,0,0,1
Hoka,Speedgoat 5 GTX,0,True to size,3.5 mm,Normal,0,1,1,#531 Bottom 17%,#381 Bottom 41%,Moderate,0,1,0,Neutral,1,0,Mid|Forefoot,1,0,1,7.0,4.0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,34.6,,27.6,,0,0,1,1,0,0,0
Hoka,Speedgoat 6,0,Slightly small,4.0 mm,NormalWide,1,1,1,#327 Bottom 10%,#47 Top 13%,Moderate,0,1,0,Neutral,1,0,Mid|Forefoot,1,0,1,4.9,5.0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,32.1,40.0,27.2,35.0,1,0,0,0,0,0,1
Hoka,Speedgoat 6 GTX,0,Half size small,3.9 mm,NormalWide,0,1,1,#355 Bottom 3%,#128 Top 35%,Moderate,0,1,0,Neutral,1,0,Mid|Forefoot,1,0,1,5.0,5.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,32.9,37.0,27.9,32.0,0,0,1,1,0,0,0
Hoka,Stinson 7,0,True to size,3.0 mm,Normal,0,1,1,#209 Bottom 43%,#117 Top 32%,Light|Moderate,1,1,0,Neutral,1,0,Mid|Forefoot,1,0,1,7.0,5.0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,40.0,42.0,33.0,37.0,1,0,0,0,0,0,1
Hoka,Tecton X,1,True to size,3.5 mm,Normal,0,1,1,#134 Top 21%,#492 Bottom 23%,Moderate,0,1,0,Neutral,1,0,Heel|Mid|Forefoot,1,1,1,8.0,5.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,35.3,33.0,27.3,29.0,0,0,0,0,0,0,1
Hoka,Tecton X 2,0,Slightly small,3.6 mm,Normal,0,1,1,#282 Top 44%,#363 Bottom 43%,Moderate,0,1,0,Neutral,1,0,Mid|Forefoot,1,0,1,5.6,5.0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,37.4,32.0,31.8,27.0,1,0,0,0,0,0,1
Hoka,Tecton X 3,0,Slightly small,4.0 mm,Normal,0,1,1,#229 Bottom 37%,#162 Top 45%,Light|Moderate,1,1,0,Neutral,1,0,Mid|Forefoot,1,0,1,6.9,5.0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,37.8,40.0,30.9,35.0,1,0,0,0,1,0,0
